id,query,model,human_relevance,auto_relevance,human_completeness,auto_completeness,human_avoids_repetition,auto_avoids_repetition,human_overall,auto_overall,relevance_diff,completeness_diff,overall_diff
1,Looking for a refreshing highball-style cocktail with ginger...,Gemini-3-Pro,0.98,0.7864506244659424,0.95,1.0,1.0,1.0,0.96,0.9145802497863771,0.1935493755340576,0.050000000000000044,0.04541975021362288
2,I need a low-alcohol cocktail that's still flavorful and int...,Gemini-3-Pro,0.96,0.5890244841575623,0.95,1.0,1.0,1.0,0.95,0.8356097936630249,0.3709755158424377,0.050000000000000044,0.11439020633697505
3,Can you recommend a tequila cocktail with citrus and a spicy...,Gemini-3-Pro,0.97,0.7734889984130859,0.95,1.0,1.0,1.0,0.96,0.9093955993652345,0.19651100158691404,0.050000000000000044,0.050604400634765456
4,"I want something fruity and sweet, perfect for a summer brun...",Gemini-3-Pro,0.95,0.6713851690292358,0.95,1.0,1.0,1.0,0.95,0.8685540676116943,0.2786148309707641,0.050000000000000044,0.08144593238830566
5,What's a good cocktail for a party that can be made in large...,Gemini-3-Pro,0.94,0.7269201278686523,0.93,1.0,1.0,1.0,0.94,0.8907680511474609,0.2130798721313476,0.06999999999999995,0.04923194885253901
6,Find me a tropical cocktail with pineapple and coconut flavo...,Gemini-3-Pro,0.94,0.7986792922019958,0.9,0.6666666666666666,1.0,1.0,0.93,0.8194717168807983,0.1413207077980041,0.2333333333333334,0.11052828311920171
7,I need a low-alcohol cocktail that's still flavorful and int...,GPT-5.0,0.96,0.5146449208259583,0.95,1.0,1.0,1.0,0.95,0.8058579683303833,0.4453550791740417,0.050000000000000044,0.1441420316696167
8,Find me a complex cocktail with multiple spirits and herbal ...,Gemini-3-Pro,0.97,0.7528020739555359,0.92,1.0,1.0,1.0,0.95,0.9011208295822144,0.21719792604446408,0.07999999999999996,0.048879170417785556
9,Find me a tropical cocktail with pineapple and coconut flavo...,GPT-5.0,0.95,0.7586675882339478,0.9,1.0,1.0,1.0,0.93,0.9034670352935792,0.1913324117660522,0.09999999999999998,0.02653296470642086
10,I need a quick and easy cocktail recipe that requires minima...,Gemini-3-Pro,0.98,0.6369923949241638,0.95,1.0,1.0,1.0,0.96,0.8547969579696655,0.34300760507583616,0.050000000000000044,0.10520304203033448
11,I'm looking for a classic gin cocktail that's elegant and so...,Gemini-3-Pro,0.4,0.7567595839500427,0.35,1.0,1.0,1.0,0.38,0.902703833580017,0.3567595839500427,0.65,0.522703833580017
12,Can you recommend a tequila cocktail with citrus and a spicy...,GPT-5.0,0.5,0.6561000943183899,0.4,1.0,1.0,1.0,0.45,0.862440037727356,0.1561000943183899,0.6,0.412440037727356
13,"I want a whiskey-based cocktail that's not too sweet, suitab...",Gemini-3-Pro,0.35,0.7756593823432922,0.3,1.0,1.0,1.0,0.33,0.910263752937317,0.42565938234329226,0.7,0.5802637529373169
14,I need a quick and easy cocktail recipe that requires minima...,GPT-5.0,0.25,0.5867131948471069,0.2,0.6666666666666666,1.0,1.0,0.22,0.7346852779388428,0.33671319484710693,0.4666666666666666,0.5146852779388428
18,"I want something fruity and sweet, perfect for a summer brun...",GPT-5.0,0.4,0.6500155925750732,0.3,0.3333333333333333,1.0,1.0,0.35,0.6600062370300293,0.2500155925750732,0.033333333333333326,0.3100062370300293
